week,date,count
2026-W10,2026-03-08 00:00:00,312360
2026-W11,2026-03-15 00:00:00,324751
2026-W12,2026-03-22 00:00:00,328822
2026-W13,2026-03-29 00:00:00,342710
2026-W14,2026-04-05 00:00:00,354768
2026-W16,2026-04-19,365467
